Country,Year,CBR,GFR
Germany,1960,8.127721815581033,31.857397580282104
Germany,1961,8.201374468962937,32.876370021784304
Germany,1962,8.48529985203803,34.570509725196366
Germany,1963,8.452420956995857,35.043468356544
Germany,1964,8.67485794897431,36.48750107830457
Germany,1965,8.6552765151596,36.91894741454903
Germany,1966,8.388162139429618,35.94342846944283
Germany,1967,8.37912419630814,35.80692733616781
Germany,1968,8.10394930504683,34.49718627658412
Germany,1969,7.664972351566605,32.47207944120841
Germany,1970,7.054054612640953,29.91516634956121
Germany,1971,6.2779553657230345,26.80456996589563
Germany,1972,6.0431977045205265,25.918525616616247
Germany,1973,5.422284955893107,23.2403616690002
Germany,1974,4.902436333841287,20.936034784981672
Germany,1975,4.842052004365144,20.574851502944647
Germany,1976,4.6421210998719,19.62663451828807
Germany,1977,4.7142710082781365,19.79220075274489
Germany,1978,4.563570202852345,18.995576213732342
Germany,1979,4.534649361993147,18.696743159028223
Germany,1980,4.598428553310538,18.77652284295167
Germany,1981,4.878719977957991,19.75580485801086
Germany,1982,4.903098986499402,19.627175462323148
Germany,1983,4.876305980652289,19.303174188827203
Germany,1984,4.6884357245589445,18.363287711741243
Germany,1985,4.62807655992512,18.060955132182148
Germany,1986,4.678492464435988,18.27626736797674
Germany,1987,4.984797075623102,19.53710058309636
Germany,1988,5.047092979956091,19.921728330878317
Germany,1989,5.349825502777511,21.330113231523118
Germany,1990,5.352787059556878,21.56798462429287
Germany,1991,5.586758467624304,22.795099336804345
Germany,1992,5.493628394870234,22.613414661493955
Germany,1993,5.426186701996295,22.434228100520762
Germany,1994,5.348478115089573,22.200266499192555
Germany,1995,5.115805862162073,21.299889029682653
Germany,1996,5.045498743999248,20.91504921773052
Germany,1997,5.1717431227857755,21.413127613560942
Germany,1998,5.235588692421071,21.71079362001656
Germany,1999,5.021466488541434,20.8934600761366
Germany,2000,4.876201352882574,20.37721656617886
Germany,2001,4.813357713011248,20.187432154205688
Germany,2002,4.581243565815112,19.235273501062384
Germany,2003,4.4648892864877965,18.76665304058094
Germany,2004,4.367802852535155,18.360955541805524
Germany,2005,4.338411637354838,18.272715959363452
Germany,2006,4.21074897907729,17.759068211730277
Germany,2007,4.119821119871272,17.43834535337187
Germany,2008,4.184503604131865,17.80100712989311
Germany,2009,4.163180525183982,17.815696316992366
Germany,2010,4.0406563161182945,17.432720508015713
Germany,2011,4.117932091761931,17.939395434696504
Germany,2012,4.002061949129324,17.604610212139338
Germany,2013,4.083102445838069,18.128066419261266
Germany,2014,4.138112681461194,18.57694567922465
Germany,2015,4.314592798278771,19.61750429956468
Germany,2016,4.440155636835789,20.454031921783393
Germany,2017,4.6980732466658575,21.980252352204595
Japan,1960,8.38373623117856,30.94843159209826
Japan,1961,8.177024476960728,30.185131762702575
Japan,1962,8.062223473482506,29.697788099567493
Japan,1963,8.129626178795764,29.5362566157483
Japan,1964,8.282924420527223,29.667033531341378
Japan,1965,8.471587830737604,29.973468668634634
Japan,1966,8.685288568552576,30.488307141534733
Japan,1967,6.671692955798974,23.233908519095326
Japan,1968,9.263820401980484,32.25091875327556
Japan,1969,8.835584968102056,30.777646228649957
Japan,1970,8.839639006380764,30.876987344684068
Japan,1971,8.80729464711846,30.942800735567307
Japan,1972,9.147575748387931,32.43030469630246
Japan,1973,9.132062628784753,32.71994398118747
Japan,1974,9.22815548235246,33.39058830300033
Japan,1975,8.824599617359828,32.224276796981485
Japan,1976,8.2733796443276,30.504813541150888
Japan,1977,7.830444465749604,29.148702384526143
Japan,1978,7.433549273276546,27.910856119014312
Japan,1979,7.1718571803347855,27.138893633498412
Japan,1980,6.8239457098809515,25.992511858043898
Japan,1981,6.564419523347098,25.157254658351153
Japan,1982,6.2938037827005635,24.343745376347012
Japan,1983,6.205784341037341,24.113809158679693
Japan,1984,6.131669879999033,23.929162068746606
Japan,1985,6.00537232574282,23.513867856202037
Japan,1986,5.755276192932934,22.60553234557356
Japan,1987,5.523566686606825,21.752354527322165
Japan,1988,5.358509258278743,21.1277591762194
Japan,1989,5.201266467711347,20.487650335133452
Japan,1990,4.944700157087271,19.449035532438767
Japan,1991,4.808574478130828,18.964675459132685
Japan,1992,4.804788925373169,19.064155916071673
Japan,1993,4.732426361688038,18.908964423035645
Japan,1994,4.652896921271383,18.72061358998747
Japan,1995,4.7806604053367705,19.378755925514163
Japan,1996,4.6385965094213635,18.851228207302853
Japan,1997,4.624895071202889,18.886501359739306
Japan,1998,4.642562618577922,19.26052044359664
Japan,1999,4.6284800051946755,19.53565921504287
Japan,2000,4.559860003912981,19.591255155356368
Japan,2001,4.509471568643455,19.71226924253304
Japan,2002,4.494301287817544,19.898189262996084
Japan,2003,4.430894457100704,19.819693212649266
Japan,2004,4.310271504913483,19.460141951979622
Japan,2005,4.228207357227112,19.275701279698968
Japan,2006,4.089854613708575,18.874031513245544
Japan,2007,4.148129006864135,19.29135001019018
Japan,2008,4.1865156936903345,19.598371976651507
Japan,2009,4.210499959424496,19.852294732239955
Japan,2010,4.074122415374953,19.311618934487097
Japan,2011,4.034801078907208,19.234488882643504
Japan,2012,4.046401939735907,19.407537495179717
Japan,2013,3.9891255960343126,19.24934604576605
Japan,2014,3.9569174888918646,19.22032769431862
Japan,2015,3.8287664237595798,18.736523059640838
Japan,2016,3.7367832142583994,18.41237354273299
Japan,2017,3.805107095177458,18.837640275936007
USA,1960,11.280506810938299,48.53759931031785
USA,1961,11.19907248889263,48.58224744728369
USA,1962,11.004097913031755,47.83208855474064
USA,1963,10.624249479865643,46.052398642868624
USA,1964,10.285217298449904,44.510689911598014
USA,1965,9.845123263889912,42.5180630381516
USA,1966,9.23975661344622,39.731125182861
USA,1967,8.741289362934202,37.32671706330454
USA,1968,8.417726676657344,35.66640716272953
USA,1969,8.277798859395366,34.81364653899024
USA,1970,8.358233618239092,34.92297566061129
USA,1971,8.46272707925869,35.17314389063798
USA,1972,8.112171295767126,33.516691842980556
USA,1973,7.4833811363047555,30.675084822556542
USA,1974,7.128218816444757,28.95754193264997
USA,1975,7.082080141681242,28.525646070181573
USA,1976,7.0749535068931335,28.2481702701628
USA,1977,7.143301196528285,28.270178332288374
USA,1978,7.2977748098840705,28.65284855140493
USA,1979,7.384241885396665,28.784671125745604
USA,1980,7.557870576003038,29.287220919274638
USA,1981,7.669432220406971,29.595234083429652
USA,1982,7.683377272006171,29.536509720588533
USA,1983,7.653590382519,29.32551312934772
USA,1984,7.5099350652893735,28.669563230545528
USA,1985,7.476641322292865,28.4338252641094
USA,1986,7.538822650597836,28.558926653850456
USA,1987,7.496033955721804,28.311751925463017
USA,1988,7.487397283589275,28.26408629952143
USA,1989,7.5758307552683695,28.634407185593904
USA,1990,7.724018561256359,29.254457641726464
USA,1991,7.768623669715968,29.497848835067053
USA,1992,7.655528170032769,29.14203006767586
USA,1993,7.4415306734938484,28.425465560568952
USA,1994,7.214674413184739,27.640036776149593
USA,1995,7.036609542391634,26.992789112460805
USA,1996,6.871664800878012,26.36045583885533
USA,1997,6.756811239028426,25.997993931446747
USA,1998,6.690819351142621,25.887158213185927
USA,1999,6.65224812252197,25.869280236529196
USA,2000,6.663941473880515,26.044396251451406
USA,2001,6.789751245200704,26.66213506170982
USA,2002,6.81254715523803,26.877638730123472
USA,2003,6.716891983879473,26.62762963927376
USA,2004,6.707183446235787,26.734972249546416
USA,2005,6.667861153656885,26.735021093691092
USA,2006,6.62798247412471,26.730209131814163
USA,2007,6.681636389071413,27.135064655466895
USA,2008,6.694108613725121,27.41130859893611
USA,2009,6.5212820235013105,26.92890307906444
USA,2010,6.31864812372295,26.32713375642838
USA,2011,6.229088889334331,26.183026343467652
USA,2012,6.16002863991683,26.099975994678644
USA,2013,6.094251730368958,26.016469047346558
USA,2014,6.067829769735282,26.08981384428334
USA,2015,6.060978081968191,26.224119737410533
USA,2016,6.020913599025405,26.168931955952917
USA,2017,5.942804020416378,25.92238138849482
